joueurId(Number);tour(Number);caseId(String);natureFond(String);bathymetrie(String);estEnregistre(Boolean);estMemorise(Boolean);type(Symbol)
1;4;O37;vase;plateau;true;false;Plaisancier
1;4;L34;sable;plateau;true;false;FouDeBassan
2;4;D42;rocher;plateau;false;false;FouDeBassan
2;4;D46;rocher;cote;false;false;FouDeBassan
2;4;B45;rocher;cote;false;false;FouDeBassan
1;4;N30;vase;plateau;true;false;FouDeBassan
1;4;P29;vase;plateau;true;false;NavireCommerce
1;4;Q27;vase;plateau;true;false;Dauphin
2;4;D47;rocher;cote;false;false;Plaisancier
2;4;E47;rocher;cote;false;false;Plaisancier
2;4;G46;rocher;cote;false;false;FouDeBassan
2;4;F47;rocher;cote;false;false;Plaisancier
2;4;G48;rocher;cote;false;false;Plaisancier
2;4;G48;rocher;cote;false;false;NavireCommerce
2;4;I47;rocher;cote;false;false;Plaisancier
2;4;H48;rocher;cote;false;false;Plaisancier
2;4;J47;rocher;cote;false;false;Plaisancier
2;4;I48;rocher;cote;false;false;Plaisancier
1;4;R33;vase;plateau;true;false;Dauphin
1;4;T32;rocher;plateau;true;false;Dauphin
1;4;T32;rocher;plateau;true;false;FouDeBassan
1;4;T37;vase;plateau;true;false;FouDeBassan
1;4;P40;vase;plateau;true;false;Dauphin
1;4;P44;vase;plateau;true;false;FouDeBassan
1;4;P46;vase;cote;true;false;FouDeBassan
1;4;O49;sable;cote;true;false;Plaisancier
2;5;L48;sable;cote;true;false;Plaisancier
2;5;K48;sable;cote;true;false;Plaisancier
2;5;L49;sable;cote;true;false;Plaisancier
2;5;O48;sable;cote;true;false;Plaisancier
2;5;N49;sable;cote;true;false;Plaisancier
2;5;M48;sable;cote;true;false;Plaisancier
2;5;K46;vase;cote;true;false;Plaisancier
2;5;K44;vase;plateau;true;false;NavireCommerce
1;5;L48;sable;cote;true;false;Plaisancier
1;5;K48;sable;cote;true;false;Plaisancier
1;5;M48;sable;cote;true;false;Plaisancier
1;5;N49;sable;cote;true;false;Plaisancier
1;5;L49;sable;cote;true;false;Plaisancier
1;5;J47;rocher;cote;true;false;Plaisancier
1;5;K46;vase;cote;true;false;Plaisancier
2;5;O34;sable;plateau;true;false;NavireCommerce
2;5;R35;vase;plateau;true;false;FouDeBassan
2;5;O33;vase;plateau;true;false;Plaisancier
2;5;Q33;vase;plateau;true;false;FouDeBassan
2;5;R33;vase;plateau;true;false;FouDeBassan
2;5;Q30;vase;plateau;true;false;NavireCommerce
1;5;H48;rocher;cote;true;false;Plaisancier
2;5;J43;vase;plateau;true;false;NavireCommerce
2;5;J47;rocher;cote;true;false;Plaisancier
2;5;H46;rocher;cote;true;false;Plaisancier
2;5;G47;rocher;cote;true;false;Plaisancier
2;5;H48;rocher;cote;true;false;Plaisancier
